address_id,street,city,state,zip,latitude,longitude
AD000000,43321 Brittany Bypass,North Jefferyhaven,PA,03979,60.658074,-73.249851
AD000001,79402 Peterson Drives Apt. 511,Davisstad,PA,35172,-78.336362,66.651852
AD000002,1849 Ray Squares,North Donnaport,CO,31013,-62.887635,24.078714
AD000003,5255 Elizabeth Squares Apt. 928,East Steven,KY,84387,59.5050595,-62.095004
AD000004,30564 Jason Port Suite 376,Thomasberg,IA,98148,60.6911115,109.361229
AD000005,969 Cox Dam Suite 101,Lake Ernest,TX,55834,70.097331,-145.893822
AD000006,9784 Erin Crescent Suite 514,Mooretown,VA,94830,-19.297042,88.750123
AD000007,148 Eric Track,New Stephanie,NC,00575,70.777963,-5.970041
AD000008,15430 Natalie Common Apt. 718,East Donna,OH,22144,-18.849404,103.292704
AD000009,83465 Lam Mission Apt. 331,Andrewside,IN,77629,-30.885845,-176.139446
AD000010,031 Michele Cliffs,West Elizabeth,IL,71179,-54.4828095,126.576427
AD000011,76311 Gomez Loop Suite 010,Chandlerville,IA,25613,-38.9411855,107.91622
AD000012,62473 Scott Wall Apt. 080,Port Melindaburgh,MT,64154,39.2136675,-65.245296
AD000013,26064 Mitchell Square Suite 234,North Beth,ND,08490,-5.8173485,-149.309627
AD000014,788 Brian Pass,Port Jacobland,TX,31329,18.3876745,-115.636367
AD000015,909 Robert Prairie,Sarahborough,TN,94373,-5.6619105,-51.856453
AD000016,2475 Albert Road Apt. 183,Davidstad,FM,09517,-24.425402,18.388346
AD000017,78498 Elizabeth Plaza Suite 124,North Juliaberg,KY,37431,72.3577705,-66.919067
AD000018,48740 Cynthia Village Suite 005,Lake Tina,GA,97655,28.6043165,116.181171
AD000019,011 Amy Village Suite 982,Andersonport,MN,05730,6.048684,-67.216019
AD000020,158 Dickson Summit,East Michelle,AS,23707,20.6744385,-166.692921
AD000021,563 Moore Squares,South Monicafort,IN,26659,33.561709,7.721436
AD000022,30365 Lin Trail Suite 586,Sheilaville,FM,34738,-42.0660665,131.701739
AD000023,19655 Obrien Pass Apt. 693,Bradleychester,AL,68647,54.5396065,-74.217569
AD000024,1595 Jennifer Hills Suite 656,Angelaborough,MT,87654,11.7760355,-86.569784
AD000025,8044 Russell Prairie Suite 777,New Thomas,MH,96964,-44.448814,173.717803
AD000026,8951 Emily Fork,East Andrew,IA,62778,74.087607,-140.900642
AD000027,9367 Sanchez Shoal Apt. 163,Port Susan,NC,61390,-76.519606,119.254959
AD000028,72788 Dodson Mills,Rivasside,NV,21362,37.4194485,61.629363
AD000029,48734 Jones Heights Apt. 455,East Edwardfurt,UT,20529,-32.5674615,-145.517398
AD000030,5876 Jamie Manor Suite 909,Woodsstad,ME,99260,14.6862435,44.960337
AD000031,3467 Paul Skyway,Ramseymouth,PW,17229,77.0358315,106.755443
AD000032,9901 Taylor Mountain,North Jorge,MD,28243,32.0574215,-4.525993
AD000033,4641 Smith Plains Apt. 531,Port Anthonybury,ID,03172,76.7885205,-98.190351
AD000034,71937 Wang Expressway,Port Loriport,CT,76350,-83.107002,-12.519229
AD000035,3193 Heidi Hollow Apt. 905,Stanleyland,NY,85375,1.5985465,-173.207431
AD000036,1657 Ryan Street Suite 987,Grahamshire,KY,42746,-24.1003935,-133.473212
AD000037,3799 Rogers Park Suite 273,Laurenmouth,KY,78640,-15.839719,118.388036
AD000038,313 Freeman Trace,Lake Thomas,VT,64833,30.3059385,-170.742594
AD000039,3634 Kennedy Pines,Ronaldside,MA,46613,31.801317,-34.552852
AD000040,3135 Julia Track Apt. 337,Jennyhaven,PA,37594,-63.0152285,-75.783917
AD000041,52408 Joshua Center Suite 271,New Justinfort,NV,45158,-40.5102545,-152.417333
AD000042,1167 Barbara Spur Apt. 229,Christopherbury,DE,73648,21.7158625,145.514309
AD000043,677 Dalton Meadow,Ashleyton,RI,97505,-63.362192,-68.444719
AD000044,1232 Eric Lodge,Norrisfort,LA,04779,-27.863572,-25.324868
AD000045,713 French Road Apt. 618,Lake Edward,KY,19144,-70.8310675,-147.982071
AD000046,9947 Taylor Hollow,Benderhaven,ND,65223,27.5100015,-136.813109
AD000047,5940 Jeremy Spring,Port Emilyview,OK,05774,-42.9725965,72.598205
AD000048,2967 Theodore Lodge Suite 512,Robertfort,LA,87347,17.495582,115.33087
AD000049,1545 Tara Lodge,Lake Mollymouth,MT,07605,-39.646195,98.335031
AD000050,770 Joseph Curve Suite 771,Lake Chelseabury,VT,21259,-6.5836445,115.729443
AD000051,613 Steven Crest,South Sarah,LA,67199,-16.603064,43.064677
AD000052,3782 Lee Rapid Apt. 146,Sarahhaven,KY,00837,-14.0759885,-19.714049
AD000053,78755 Gibson Islands Apt. 396,Port Kimberly,AZ,42205,36.9635945,24.671914
AD000054,270 Wayne Ramp Suite 171,Smithberg,MT,86324,-48.5639755,-139.826889
AD000055,5961 Phelps Walks Suite 578,New Caseyport,IN,98381,-65.7389825,52.986657
AD000056,172 Berger Cape,Lauraport,MI,49632,25.611604,-101.847812
AD000057,692 Gregory Ridge,Harveybury,NM,76936,-51.582129,-55.34478
AD000058,474 Rachel Mountain Suite 821,Landryshire,ME,84247,23.8995635,-45.729538
AD000059,3671 Patrick Knolls Suite 406,Alanton,PW,79983,43.339215,-26.350685
AD000060,533 Byrd Stravenue,Lake Colton,SC,85218,-79.4175825,-14.142924
AD000061,95214 Burgess Extensions Apt. 285,Mariaview,PW,63657,-10.773571,1.846367
AD000062,1236 Davis Locks,West Amandamouth,MN,88689,-19.6265825,133.833311
